,end_station_name,end_station_id
453,3rd & Elm St NW,31118.0
499,3rd & G St SE,31625.0
467,3rd & H St NE,31616.0
328,3rd & H St NW,31604.0
34,3rd & M St NE,31627.0
4293926,3rd & M St SE,31669.0
13605,3rd & M st SE,31669.0
6243710,3rd & N St NE,31540.0
259,3rd & Tingey St SE,31634.0
1746,3rd & Underwood St NW,31413.0
1034,3rd St & Pennsylvania Ave SE,31269.0
7423,3rd St & Riggs Rd NE,31412.0
6381906,41st St & Alabama Ave SE / Fort Davis Rec,31724.0
18854,47th & Elm St,32021.0
1745,48th Pl & MacArthur Blvd NW,31322.0
156,4th & C St SW,31243.0
5244501,4th & College St NW,31138.0
3015,4th & D St NW / Judiciary Square,31621.0
183,4th & E St SW,31244.0
541,4th & East Capitol St NE,31618.0
2121519,4th & Florida Ave NE,31532.0
3955801,4th & G St SW,31666.0
228,4th & M St SE,31652.0
247,4th & M St SW,31108.0
6495674,4th & O St SW,31678.0
2120,4th & W St NE,31500.0
313,4th St & G St SW,31666.0
50,4th St & K St NW,31642.0
242,4th St & Madison Dr NW,31288.0
6852,4th St & Mississippi Ave SE,31816.0
60475,53rd & D St SE/C.W. Harris Elementary,31671.0
978,5th & F St NW,31620.0
256,5th & K St NW,31600.0
787,5th & Kennedy St NW,31403.0
5322356,5th & Morse St NE,31536.0
929,5th St & Massachusetts Ave NW,31265.0
14747,6035 Warehouse,32901.0
1175,61st St & Banks Pl NE,31714.0
234,6th & H St NE,31615.0
84,6th & K St NE,31645.0
186,6th St & Indiana Ave NW,31264.0
4340,7th & E St SW,31294.0
182,7th & F St NW / National Portrait Gallery,31232.0
35,7th & K St NW,31653.0
4880675,7th & Monroe St NE,31534.0
584,7th & R St NW / Shaw Library,31245.0
414,7th & S St NW,31130.0
96,7th & T St NW,31109.0
6351825,7th St & Florida Ave NW,31109.0
25,7th St & Massachusetts Ave NE,31647.0
2003,8th & D St NW,31270.0
704,8th & East Capitol St NE,31629.0
461,8th & Eye St SE / Barracks Row,31608.0
394,8th & F St NE,31631.0
609,8th & H St NE,31661.0
150,8th & H St NW,31228.0
102,8th & K St NE,31660.0
181,8th & O St NW,31281.0
2041256,8th & V St NW,31134.0
1664708,8th Rd & S Frederick St,31951.0
6441689,9th & G St NW,30201.0
5143217,9th & Ingraham St NW,31424.0
934,9th & Upshur St NW,31404.0
6433361,9th St & Pennsylvania Ave NW,30200.0
154,Adams Mill & Columbia Rd NW,31104.0
8360,Alabama & MLK Ave SE,31800.0
941,Alabama Ave & Stanton Rd SE / Shops at Park Village,31813.0
758,American University East Campus,31320.0
2404,Amherst Ave & Elkins St,32063.0
16166,Amherst Ave & Prichard Rd,32064.0
2200,Anacostia Ave & Benning Rd NE / River Terrace ,31708.0
5228434,Anacostia Ave & East Capitol St NE,31721.0
975,Anacostia Library,31804.0
1346,Anacostia Metro,31801.0
243,Anacostia Park,31820.0
5087856,Anacostia Roller Skating Pavilion,31720.0
155768,Anacostia Roller Skating Pavillion,31720.0
2065644,Arizona & McArthur NW,31331.0
2094826,Arizona Ave & MacArthur Blvd NW,31331.0
8143120,Arlington Blvd & Allen St,32268.0
1594,Arlington Blvd & Fairfax Dr,31940.0
1655,Arlington Blvd & Fillmore St,31070.0
